LoanID,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
1,20000,20000,8.90%,36 months,debt_consolidation,14.90%,SC,MORTGAGE,6541.67,735-739,14,14272,2,< 1 year
2,19200,19200,12.12%,36 months,debt_consolidation,28.36%,TX,MORTGAGE,4583.33,715-719,12,11140,1,2 years
3,35000,35000,21.98%,60 months,debt_consolidation,23.81%,CA,MORTGAGE,11500,690-694,14,21977,1,2 years
4,10000,9975,9.99%,36 months,debt_consolidation,14.30%,KS,MORTGAGE,3833.33,695-699,10,9346,0,5 years
5,12000,12000,11.71%,36 months,credit_card,18.78%,NJ,RENT,3195,695-699,11,14469,0,9 years
6,6000,6000,15.31%,36 months,other,20.05%,CT,OWN,4891.67,670-674,17,10391,2,3 years
7,10000,10000,7.90%,36 months,debt_consolidation,26.09%,MA,RENT,2916.67,720-724,10,15957,0,10+ years
8,33500,33450,17.14%,60 months,credit_card,14.70%,LA,MORTGAGE,13863.42,705-709,12,27874,0,10+ years
9,14675,14675,14.33%,36 months,credit_card,26.92%,CA,RENT,3150,685-689,9,7246,1,8 years
10,7000,7000,6.91%,36 months,credit_card,7.10%,CA,RENT,5000,715-719,8,7612,0,3 years
11,2000,2000,19.72%,36 months,moving,10.29%,FL,RENT,3575,670-674,10,12036,0,6 years
12,10625,10625,14.27%,36 months,debt_consolidation,12.54%,CA,MORTGAGE,4250,665-669,14,10767,0,< 1 year
13,28000,27975,21.67%,60 months,debt_consolidation,13.07%,CT,MORTGAGE,14166.67,670-674,12,10311,0,1 year
14,35000,34950,8.90%,36 months,debt_consolidation,20.46%,CT,RENT,9166.67,735-739,19,21536,0,1 year
15,9600,9600,7.62%,36 months,debt_consolidation,3.45%,DC,RENT,11250,725-729,13,4606,0,< 1 year
16,25000,24975,15.65%,60 months,debt_consolidation,21.99%,CA,RENT,5416.67,730-734,6,13929,0,9 years
17,10000,10000,12.12%,36 months,debt_consolidation,17.72%,CA,RENT,9000,695-699,18,20317,0,7 years
18,14000,13900.25,10.37%,60 months,debt_consolidation,11.95%,OH,RENT,4333.33,740-744,6,7419,0,9 years
19,10000,10000,9.76%,36 months,credit_card,7.13%,FL,RENT,2733.33,730-734,7,6112,2,3 years
20,5200,5175,9.99%,60 months,debt_consolidation,10.29%,AL,MORTGAGE,3750,760-764,10,16094,0,< 1 year
21,22000,21975,21.98%,36 months,debt_consolidation,11.19%,TX,MORTGAGE,6666.67,665-669,9,23124,0,10+ years
22,30000,30000,19.05%,60 months,credit_card,21.25%,FL,MORTGAGE,6250,695-699,12,34927,0,6 years
23,6500,6500,17.99%,60 months,car,19.63%,FL,RENT,4100,665-669,11,11697,1,2 years
24,17400,17400,11.99%,36 months,credit_card,12.47%,AZ,RENT,6833.33,695-699,7,26587,0,7 years
25,4000,4000,16.82%,60 months,vacation,13.71%,GA,MORTGAGE,4500,670-674,5,20804,0,3 years
26,7200,7200,7.90%,36 months,debt_consolidation,24.82%,TX,RENT,5416.67,705-709,8,12017,0,7 years
27,8000,8000,14.42%,36 months,debt_consolidation,24.63%,MA,RENT,2964.17,675-679,9,8928,2,6 years
28,8000,8000,15.31%,36 months,debt_consolidation,15.46%,CA,MORTGAGE,2916.67,675-679,13,7152,1,5 years
29,3000,3000,8.59%,36 months,other,3.72%,MA,MORTGAGE,4167,765-769,4,7074,0,5 years
30,14500,14500,7.90%,36 months,debt_consolidation,4.85%,GA,MORTGAGE,3958.33,760-764,4,9598,0,4 years
31,23850,23850,21.00%,60 months,debt_consolidation,28.81%,LA,MORTGAGE,5833.33,685-689,19,25968,3,9 years
32,14000,14000,12.12%,36 months,debt_consolidation,14.93%,CA,MORTGAGE,10583.33,685-689,9,35457,0,2 years
33,35000,34975,16.49%,60 months,debt_consolidation,7.45%,GA,MORTGAGE,10416.67,720-724,7,31414,0,8 years
34,16000,16000,15.80%,60 months,car,11.94%,WV,RENT,5250,685-689,14,154,1,3 years
35,17350,7019.25,13.55%,36 months,debt_consolidation,18.52%,NH,OWN,3666.67,675-679,8,18966,2,6 years
36,8000,7975,7.90%,36 months,car,29.62%,AL,MORTGAGE,5583.33,780-784,9,6065,1,10+ years
37,7200,7200,7.90%,36 months,debt_consolidation,7.98%,GA,RENT,5666.67,720-724,5,8783,0,3 years
38,20125,20125,7.62%,36 months,home_improvement,4.29%,VA,MORTGAGE,3750,830-834,13,73952,0,1 year
39,12000,11875,8.90%,36 months,debt_consolidation,12.06%,NY,RENT,5000,715-719,11,14717,0,4 years
40,2400,1850,12.49%,36 months,home_improvement,20.56%,MD,MORTGAGE,3448.33,660-664,10,18749,5,< 1 year
41,3200,3200,17.27%,36 months,home_improvement,8.36%,HI,MORTGAGE,2500,670-674,7,6619,1,3 years
42,12725,12725,11.14%,36 months,debt_consolidation,22.15%,TX,RENT,4416.67,720-724,23,4079,0,3 years
43,5500,5500,19.13%,36 months,credit_card,3.58%,DC,RENT,12000,660-664,2,0,1,8 years
44,15650,15650,21.74%,36 months,house,13.86%,MD,RENT,3700,660-664,5,10605,1,4 years
45,9000,9000,17.27%,36 months,credit_card,25.22%,CA,RENT,5166.67,675-679,14,5852,1,10+ years
46,5000,5000,11.86%,36 months,major_purchase,4%,TX,RENT,5577,715-719,3,1069,0,1 year
47,3000,3000,10.38%,36 months,debt_consolidation,15.21%,PA,RENT,3083.33,710-714,11,3098,0,2 years
48,20000,19975,23.91%,60 months,debt_consolidation,9.47%,CA,MORTGAGE,11250,670-674,5,11168,0,< 1 year
49,5450,5450,7.49%,60 months,other,2.48%,WA,MORTGAGE,4600,785-789,14,4326,0,10+ years
50,14000,14000,12.12%,36 months,debt_consolidation,11.38%,NY,MORTGAGE,4500,705-709,22,18583,0,5 years
51,8800,8799.04,10.38%,60 months,credit_card,21.59%,IL,RENT,3750,750-754,11,18694,1,2 years
52,3000,3000,17.44%,36 months,other,15.79%,MD,RENT,7952,660-664,4,12578,0,8 years
53,32000,32000,17.27%,60 months,debt_consolidation,15.61%,IL,RENT,9250,700-704,15,32566,1,2 years
54,22250,22250,21.49%,60 months,debt_consolidation,28.87%,HI,RENT,4166.67,665-669,15,14107,0,9 years
55,7325,7300,17.80%,60 months,debt_consolidation,20.37%,NY,OWN,3000,680-684,6,13583,0,5 years
56,16450,16450,11.14%,36 months,debt_consolidation,7.57%,NC,RENT,7500,725-729,5,2928,0,1 year
57,2500,2500,12.98%,36 months,debt_consolidation,16.45%,WI,RENT,1100,670-674,6,5019,1,4 years
58,6000,6000,9.99%,36 months,other,7.50%,FL,MORTGAGE,2625,715-719,4,5167,0,10+ years
59,27575,27575,14.33%,36 months,debt_consolidation,19.63%,CA,MORTGAGE,5166.67,690-694,6,8720,0,10+ years
60,1000,1000,8.59%,36 months,educational,10.69%,NY,OWN,4583.33,755-759,22,17069,1,< 1 year
61,12000,12000,11.49%,36 months,debt_consolidation,12.85%,IL,RENT,2708.33,705-709,8,12150,1,< 1 year
62,30000,30000,10.16%,36 months,debt_consolidation,22.21%,SD,MORTGAGE,8000,715-719,14,33218,0,10+ years
63,13500,13500,14.33%,36 months,debt_consolidation,31.70%,WV,RENT,4166.67,680-684,11,31168,0,1 year
64,9000,9000,15.80%,36 months,debt_consolidation,22.65%,OH,MORTGAGE,3250,665-669,9,16480,0,3 years
65,15000,15000,9.91%,36 months,debt_consolidation,9.16%,AK,MORTGAGE,4250,730-734,11,11615,1,10+ years
66,5300,5300,7.90%,36 months,medical,12.82%,CA,RENT,5500,725-729,8,9996,2,1 year
67,7000,7000,13.11%,36 months,debt_consolidation,16.76%,NJ,RENT,3650,685-689,12,6444,1,5 years
68,20000,19975,16.29%,36 months,debt_consolidation,11.85%,CA,RENT,9166.67,685-689,10,12421,3,< 1 year
69,15000,14993.57,18.25%,60 months,debt_consolidation,13.65%,CA,RENT,2916.67,705-709,4,12786,0,< 1 year
70,8000,8000,14.09%,36 months,home_improvement,12.06%,HI,RENT,5000,695-699,10,15360,1,6 years
71,24000,23947.48,19.03%,60 months,debt_consolidation,3.63%,CA,RENT,7500,695-699,6,8568,1,10+ years
72,7500,7500,8.90%,36 months,debt_consolidation,10.02%,DE,RENT,5500,715-719,9,2382,0,6 years
73,17000,16875,11.83%,36 months,debt_consolidation,12.70%,GA,RENT,4583.33,735-739,5,3644,1,6 years
74,12000,12000,17.27%,36 months,credit_card,14.86%,NJ,OWN,4583.33,665-669,12,9145,1,10+ years
75,6000,6000,15.31%,36 months,other,15.91%,MN,RENT,3833.33,670-674,11,5760,1,10+ years
76,6725,825,13.12%,36 months,debt_consolidation,13.16%,MO,MORTGAGE,5000,670-674,10,5513,9,10+ years
77,4500,4500,6.76%,36 months,debt_consolidation,14.74%,WV,MORTGAGE,2666.67,790-794,7,2705,0,7 years
78,1600,1600,10.83%,36 months,other,5.36%,RI,RENT,2427,700-704,5,7020,0,3 years
79,10000,10000,17.77%,36 months,wedding,30.40%,NY,OWN,2500,665-669,5,8379,0,8 years
80,18550,18525,7.90%,36 months,debt_consolidation,16.93%,GA,MORTGAGE,5416.67,725-729,10,28877,0,3 years
81,7450,7450,13.06%,36 months,debt_consolidation,3.30%,WA,MORTGAGE,5883.33,710-714,2,6416,1,10+ years
82,3225,3225,7.62%,36 months,debt_consolidation,17.79%,CA,MORTGAGE,5833.33,760-764,5,70323,1,10+ years
83,23675,23675,17.77%,36 months,credit_card,29.94%,PA,OWN,6399,680-684,21,21920,0,10+ years
84,12000,12000,12.12%,36 months,debt_consolidation,18.62%,VA,RENT,5833.33,690-694,16,18838,0,10+ years
85,25000,25000,16.49%,36 months,debt_consolidation,18.18%,MA,RENT,6000,695-699,9,10630,2,7 years
86,16000,15850,11.12%,36 months,credit_card,17.86%,CA,MORTGAGE,6666.67,725-729,7,18659,4,5 years
87,4200,4175,8.90%,36 months,car,10.16%,NC,MORTGAGE,3041.67,810-814,4,1548,0,10+ years
88,10000,10000,14.09%,36 months,debt_consolidation,21.45%,CO,RENT,4583.33,675-679,11,8548,0,6 years
89,6000,6000,7.51%,36 months,home_improvement,2.52%,NJ,MORTGAGE,4800,750-754,4,1442,0,10+ years
90,6000,6000,13.11%,36 months,debt_consolidation,15.33%,KS,RENT,3333.33,685-689,7,12503,2,2 years
91,7925,7925,16.29%,36 months,debt_consolidation,21.25%,GA,RENT,2000,665-669,6,7840,0,6 years
92,16000,15925,7.62%,36 months,debt_consolidation,6.48%,IL,MORTGAGE,6000,765-769,8,19539,0,n/a
93,9525,9500,15.81%,36 months,small_business,11.35%,CA,RENT,2666.67,670-674,15,5610,1,n/a
94,6000,6000,14.35%,36 months,debt_consolidation,14.08%,IL,MORTGAGE,2500,675-679,9,3621,3,< 1 year
95,10000,9975,14.96%,36 months,debt_consolidation,11.50%,FL,MORTGAGE,5250,675-679,4,3035,5,2 years
96,7000,7000,6.62%,36 months,major_purchase,8.03%,NM,MORTGAGE,10000,750-754,9,6761,1,6 years
97,4500,4500,5.99%,36 months,debt_consolidation,18.48%,CA,MORTGAGE,10000,765-769,18,17863,3,6 years
98,12000,12000,11.14%,36 months,debt_consolidation,2.37%,MD,MORTGAGE,12500,735-739,13,10944,0,5 years
99,10375,10375,19.72%,36 months,debt_consolidation,4.99%,CT,RENT,4166.67,665-669,9,6122,1,5 years
100,4800,4800,18.75%,36 months,other,10.89%,NM,MORTGAGE,5833.33,670-674,8,17943,0,10+ years
101,6400,6400,13.11%,36 months,credit_card,11.46%,LA,MORTGAGE,4666.67,700-704,7,8942,1,10+ years
102,5000,5000,7.90%,36 months,debt_consolidation,17.22%,CA,OWN,4000,705-709,10,6023,0,10+ years
103,12000,12000,6.62%,36 months,credit_card,21.66%,NC,RENT,5250,740-744,11,20639,0,< 1 year
104,23850,23820.25,21.48%,60 months,other,18.75%,NY,MORTGAGE,4250,690-694,23,37251,0,4 years
105,15000,15000,10.65%,36 months,small_business,16.15%,OH,MORTGAGE,7083.33,720-724,14,338,2,9 years
106,8000,8000,7.62%,36 months,other,0%,NC,MORTGAGE,3500,765-769,7,0,1,n/a
107,20000,20000,6.03%,36 months,credit_card,18.67%,FL,MORTGAGE,14583.33,715-719,9,29044,0,7 years
108,20000,19975,13.11%,36 months,debt_consolidation,15.09%,NC,RENT,8233.33,710-714,17,29756,2,< 1 year
109,10000,10000,14.09%,36 months,debt_consolidation,10.59%,CA,RENT,2916.67,690-694,9,10390,3,< 1 year
110,18825,18825,14.09%,36 months,credit_card,13.08%,MI,RENT,4000,710-714,6,20694,1,4 years
111,35000,34975,7.90%,36 months,small_business,1.59%,IL,RENT,18333.33,775-779,10,1992,0,1 year
112,9000,9000,6.03%,36 months,vacation,5.58%,NJ,MORTGAGE,9583.33,815-819,11,675,0,n/a
113,4000,4000,6.17%,36 months,home_improvement,15%,CT,RENT,4234,745-749,5,587,1,2 years
114,5750,5750,13.99%,36 months,credit_card,12.44%,CA,RENT,5000,660-664,13,12465,0,10+ years
115,20950,20950,15.80%,36 months,debt_consolidation,15.71%,MA,MORTGAGE,12916.67,690-694,8,30188,1,4 years
116,8000,8000,10.99%,36 months,credit_card,14.76%,NY,RENT,7500,710-714,9,7120,2,< 1 year
117,10000,10000,10.16%,36 months,debt_consolidation,9.30%,TX,MORTGAGE,3333.33,725-729,8,8940,2,n/a
118,10000,10000,14.09%,36 months,small_business,14.76%,NY,RENT,5000,675-679,7,4762,0,4 years
119,14000,14000,6.03%,36 months,credit_card,19.53%,CT,MORTGAGE,6000,765-769,13,4140,0,8 years
120,5000,5000,7.66%,36 months,credit_card,3.33%,RI,RENT,9000,735-739,3,12297,0,10+ years
121,25000,25000,19.05%,60 months,debt_consolidation,10.53%,IL,MORTGAGE,6250,700-704,8,15159,1,9 years
122,35000,35000,8.90%,36 months,debt_consolidation,14.62%,CA,RENT,10416.67,735-739,9,21321,0,10+ years
123,7200,7175,11.14%,36 months,debt_consolidation,27.89%,OK,MORTGAGE,3750,690-694,8,20342,0,10+ years
124,14000,14000,8.49%,60 months,debt_consolidation,9.89%,CA,MORTGAGE,9000,760-764,17,23773,0,4 years
125,15000,14975,15.21%,36 months,debt_consolidation,19.10%,TX,RENT,5132,680-684,4,34044,1,3 years
126,25000,25000,19.72%,60 months,debt_consolidation,32.10%,NY,OWN,4916.67,695-699,21,35208,1,7 years
127,10800,10800,14.65%,36 months,debt_consolidation,7.89%,CA,RENT,9583.33,675-679,6,6487,1,< 1 year
128,20000,20000,14.33%,36 months,credit_card,21.44%,GA,MORTGAGE,6250,700-704,9,14268,1,9 years
129,4000,4000,10.74%,36 months,debt_consolidation,1.97%,KS,RENT,2900,695-699,13,1869,1,n/a
130,16000,15950,15.70%,36 months,debt_consolidation,23.51%,OH,MORTGAGE,9333.33,675-679,20,12721,5,10+ years
131,1400,1400,9.76%,36 months,vacation,27.14%,NV,MORTGAGE,4683.33,730-734,6,6466,0,2 years
132,7500,7500,16.32%,36 months,debt_consolidation,12.54%,CA,MORTGAGE,4600,665-669,3,6120,0,2 years
133,24625,917.28,14.07%,36 months,credit_card,12.81%,NY,MORTGAGE,10000,675-679,14,33698,0,8 years
134,5000,5000,14.09%,36 months,debt_consolidation,29.02%,FL,MORTGAGE,5416.67,680-684,11,3977,1,< 1 year
135,25000,24975,9.91%,36 months,debt_consolidation,20.49%,NY,RENT,7916.67,725-729,14,27203,0,1 year
136,7500,7500,16.40%,36 months,debt_consolidation,13.34%,CA,RENT,4166.67,660-664,8,7430,0,< 1 year
137,34500,34450,6.62%,36 months,small_business,16.46%,CA,MORTGAGE,10000,805-809,8,5317,0,9 years
138,10000,10000,5.79%,36 months,debt_consolidation,6.49%,GA,MORTGAGE,12500,745-749,17,75629,0,1 year
139,3200,3200,9.88%,36 months,debt_consolidation,6.51%,MA,RENT,4500,740-744,7,3198,0,5 years
140,5500,5500,15.99%,60 months,debt_consolidation,17.95%,RI,RENT,4250,700-704,16,13256,0,10+ years
